Country,Datetime,Tweet Id,Text,Username,Tweets_clean,VADER_class,VADER_score
Mexico,2022-12-01 00:50:53+00:00,1598117396631670784,"For More Latest News Click Here: 👇👇👇
https://t.co/RuEJJSTWJR

Every angle of Luis Chávez's STUNNING free kick for Mexico in 2022 FIFA World Cup

Check out Henry Martin's stunning free kick and ""goal of the tournament"" contender in Mexico's 2-1 victory over Saudi Arabia in th… https://t.co/VjEeMIhAmU",Yash24332405,for more latest news click here 👇👇👇 every angle of stunning free kick in 2022 world cup check out henry and goal the tournament contender 21 victory over th …,Positive,0.7506
Mexico,2022-12-01 00:44:15+00:00,1598115724823773184,"Today’s a tragic day for #mex and #saudiarabia at the #fifaworldcup. Though they won, they were eliminated. The #roundof16 will never be forgotten for #eltri. #memoochoa wasn’t better

saudi arabia national football team vs mexico national football team ⚽ https://t.co/h5fkgGFPhw",Miyuko_junsei,today ’ s a tragic day for and at the though they won were roundof16 will never be forgotten t better national football team ⚽,Positive,0.6447
Mexico,2022-12-01 00:43:18+00:00,1598115487057350657,"Day 11; wins for Tunisia, Argentina and Mexico! 🇹🇳🇦🇷🇲🇽@duolingoUK #FIFAWorldCup https://t.co/iJMsq67mVx",charliestubbs19,day 11 for and 🇹🇳🇦🇷🇲🇽,Neutral,0.0
Mexico,2022-12-01 00:37:41+00:00,1598114073182605313,"@FIFAWorldCup @SaudiNT_EN @SaudiNT Yeah it’s Amazing that they could beat Argentina, and the choke against 2 lesser sides, what a disappointment! I was hoping Argentina and Mexico be knocked out in the Group stage 🤦‍♂️",acgfire1,yeah it ’ s amazing that they could beat and the choke against 2 lesser sides what a disappointment i was be out in group stage 🤦‍♂️,Neutral,-0.2023
Mexico,2022-12-01 00:34:17+00:00,1598113219570458625,Team USA 🇺🇸 is Better than Mexico 🇲🇽 in Soccer/Football and have been for the last few years. @me if you want to but that’s 💯 IJS #soccer #football #USMNT #mex #USA #concacaf #LigaMX #MLS #TataMartino #FIFAWorldCup #FutbolAmericas #tidehaschanged,ATLUTDFAN1,team 🇺🇸 is better than 🇲🇽 in and have been for the last few me if you want to but that ’ s 💯 soccer football,Neutral,0.2732
Mexico,2022-12-01 00:23:51+00:00,1598110591868366848,"Thank you Kingdom Saudi Arabia, Mexico (group C), Ecuador, Qatar (group A), Tunisia, Denmark (group D), Iran and Wales (group B) #WorldCup #FIFAWorldCup  #Qatar2022",LissaSakura,thank you kingdom group c a d and b qatar2022,Neutral,0.3612
Mexico,2022-12-01 00:22:58+00:00,1598110368764526592,BREAKING NEWS!! Canelo Álvarez warns Tata Martino and team Mexico that he will he will break even the mother for disrespecting the country by wearing the jersey. #WorldCup #WorldCup2022 #FIFAWorldCup,ridethewav3,breaking news canelo and team that he will break even the mother for country by wearing jersey worldcup2022,Neutral,0.0
Mexico,2022-12-01 00:22:26+00:00,1598110237080588294,"Results and scores from games that happened today. 

Australia vs Denmark 1-0 #Australia 
Tunisia vs France 1-0 #Tunisia 
Saudi Arabia vs Mexico 1-2 #Mexico 
Poland vs Argentina 0-2 #Argentina

#FIFAWorldCup",Soccertips1011,and from that today 10 12 02,Neutral,0.0
Mexico,2022-12-01 00:19:35+00:00,1598109517367382016,"FT:Poland 0-2 Argentina 
FT:Saudi Arabia 1-2 Mexico

Argentina 6pts
Poland 4pts
Mexico 4pts
Saudi Arabia 3pts

Argentina and Poland have qualified for the knockout stages of the ongoing Fifa World Cup. 

#WorldCup2022",iamNulad,02 12 6pts 4pts 3pts and have qualified for the knockout of ongoing world cup worldcup2022,Neutral,0.0
Mexico,2022-12-01 00:12:10+00:00,1598107653959741440,Added to the fun today was flipping channels between Mexico/KSA and Poland/Argentina to see which teams would go through. #FIFAWorldCup,davidconstable6,added to the fun today was between and see which would go through,Positive,0.5106
Mexico,2022-12-01 00:02:36+00:00,1598105244738932740,Sad for Mexico. They deserved to go through. Poland had a horror tournament and lost the match today. Saudi ruined Mexico's dreams of going ahead &amp; understandably a tough one to take for them. This is the #FIFAWorldCup group stages for you!,sindrellasins,sad for they deserved to go through had a horror tournament and lost the match today ruined of going ahead understandably tough one take them this is group you,Negative,-0.9136
Mexico,2022-11-30 23:57:32+00:00,1598103969444032518,"@FIFAWorldCup @wa7dpoet @SaudiNT_EN @SaudiNT Saudi Arabia was better against Argentina and Poland, and exhausted its energy against Mexico, a wonderful tournament for the Saudis",za4r1,wa7dpoet was better against and exhausted its energy a wonderful tournament for the,Positive,0.7351
Morocco,2022-12-16 23:24:20+00:00,1603893819849711617,"@fifaworldcup_fr Morocco's match with France revealed your scandal. It was a refereeing massacre par excellence, and the whole world noticed that. I no longer respect you. You made football bitter and boring. https://t.co/hchU7mmlge",songogo91,match with revealed your scandal it was a massacre par excellence and the whole world that i no longer respect you made football bitter boring,Negative,-0.7687
Morocco,2022-12-16 23:15:50+00:00,1603891682352812032,"@FIFAWorldCup Netherlands and Argentina enjoyed the fights. However, I loved the respect between Morocco and France.",SawdahAbdulrah1,and the however i respect between morocco,Neutral,0.4767
Morocco,2022-12-16 23:15:00+00:00,1603891471278657536,"It's the #FIFAWorldCup 3rd place match up between Croatia and Morocco - who will emerge as the victor? Coverage begins tomorrow at 8am on FOX 26, your World Cup station! ⚽🏆 https://t.co/JTBuYhPf3H",FOX26Houston,its the 3rd place match up between and morocco who will emerge as victor coverage tomorrow at 8am on fox 26 your world cup station ⚽🏆,Neutral,0.0
Morocco,2022-12-16 23:14:27+00:00,1603891334133186566,"@nbstv @FIFAWorldCup @nbstv  Leave the issues of sports and focus on Social n Political matters at which u are good. 
It's Club World cup to be played in Morocco, year 2025.",saif_middo,leave the of sports and focus on social n political at which u are good its club world cup to be in morocco year 2025,Neutral,0.4019
Morocco,2022-12-16 23:10:29+00:00,1603890337109483520,"𝙈𝘼𝙏𝘾𝙃𝘿𝘼𝙔 🇲🇦🦁

World Cup 
Morocco 🇲🇦 vs 🇭🇷 Croatia 
⌚️ 16H00 🇲🇦🇳🇱
📍Doha

Facing the opponent where it all started and will end 🇲🇦🦁

Last World Cup game for Atlas Lions, 1270 days until WC26 🇺🇸🇨🇦🇲🇽 👋

#MARCRO #FIFAWorldCup #Qatar2022 #DimaMaghrib🇲🇦❤️ #AtlasLions https://t.co/6mYvIIKalM",MVN_EN,🇲🇦🦁 world cup morocco 🇲🇦 🇭🇷 ⌚️ 16h00 🇲🇦🇳🇱 📍 facing the opponent where it all and will end last game for atlas 1270 days until wc26 🇺🇸🇨🇦🇲🇽 👋 qatar2022 🇲🇦❤️,Neutral,0.4939
Morocco,2022-12-16 23:08:00+00:00,1603889709666603008,"📈 ""His stock is just soaring as a result of this tournament""

🔝 Sofyan Amrabat's performances at #Qatar2022 have seen him linked with a host of top clubs and @BenMcAleer1 is full of praise for Morocco's midfielder -- https://t.co/XqHyKNFULu

#FIFAWorldCup https://t.co/uzdMC143y0",WhoScored,📈 his stock is just soaring as a result of this tournament 🔝 at qatar2022 have seen him linked with host top and benmcaleer1 full praise for,Positive,0.7865
Morocco,2022-12-16 23:00:00+00:00,1603887698678161408,"🇭🇷 Croatia - Morocco 🇲🇦  

Our model's predictions and tips for the #FIFAWorldCup third-place playoff are in.

Find your edge » https://t.co/tsCyhemyBy https://t.co/VielpmptH6",StatsInsider,🇭🇷 morocco 🇲🇦 our and for the are in find your edge »,Neutral,0.0
Morocco,2022-12-16 22:34:02+00:00,1603881164632199173,"💰PREDICT AND WIN A SHARE OF 100K!

🤔 Predict the Correct Score 👇?

Croatia 🆚 Morocco

👇To participate: 
➡️Predict with your NaijaBet Username
➡️Tag 4 friends 
➡️Share this post on your Timeline. 

🙌10 Winners will be chosen at random.

#FIFAWorldCup #WorldCup #Qatar2022 https://t.co/CrpLUURyXw",NaijaBet,💰 predict and win a share of 100k 🤔 the correct score 👇 🆚 morocco to participate ➡️ with your tag 4 this post on 🙌 10 will be chosen at random qatar2022,Positive,0.7184
